tld,tier,category,reserved,mint_price_plug,subdomain_cut_pct,renewal_yr_plug
manhattan,LEGENDARY,geographic,true,500,5,100
beverlyhills,LEGENDARY,geographic,true,500,5,100
mayfair,LEGENDARY,geographic,true,500,5,100
zurich,LEGENDARY,geographic,true,500,5,100
cayman,LEGENDARY,geographic,true,500,5,100
singapore,LEGENDARY,geographic,true,500,5,100
dubai,LEGENDARY,geographic,true,500,5,100
monaco,LEGENDARY,geographic,true,500,5,100
geneva,LEGENDARY,geographic,true,500,5,100
luxembourg,LEGENDARY,geographic,true,500,5,100
bahamas,LEGENDARY,geographic,true,500,5,100
bermuda,LEGENDARY,geographic,true,500,5,100
swiss,LEGENDARY,geographic,true,500,5,100
tokyo,LEGENDARY,geographic,true,500,5,100
hongkong,LEGENDARY,geographic,true,500,5,100
platinum,LEGENDARY,prestige,false,500,5,100
diamond,LEGENDARY,prestige,false,500,5,100
gold,LEGENDARY,prestige,false,500,5,100
elite,LEGENDARY,prestige,false,500,5,100
exclusive,LEGENDARY,prestige,false,500,5,100
royal,LEGENDARY,prestige,false,500,5,100
luxe,LEGENDARY,prestige,false,500,5,100
lux,LEGENDARY,prestige,false,500,5,100
prestige,LEGENDARY,prestige,false,500,5,100
prime,LEGENDARY,prestige,false,500,5,100
apex,LEGENDARY,prestige,false,500,5,100
summit,LEGENDARY,prestige,false,500,5,100
flex,STARTER,utility,false,25,15,25
hub,STARTER,utility,false,25,15,25
app,STARTER,utility,false,25,15,25
dev,STARTER,utility,false,25,15,25
online,STARTER,utility,false,25,15,25
site,STARTER,utility,false,25,15,25
web,STARTER,utility,false,25,15,25
net,STARTER,utility,false,25,15,25
link,STARTER,utility,false,25,15,25
id,STARTER,utility,false,25,15,25
me,STARTER,utility,false,25,15,25
my,STARTER,utility,false,25,15,25
pro,STARTER,utility,false,25,15,25
plus,STARTER,utility,false,25,15,25
go,STARTER,utility,false,25,15,25
now,STARTER,utility,false,25,15,25
carey,LEGENDARY,careyFamily,true,500,5,100
careymaison,LEGENDARY,careyFamily,true,500,5,100
creed,LEGENDARY,careyFamily,true,500,5,100
viccreed,LEGENDARY,careyFamily,true,500,5,100
jihad,LEGENDARY,careyFamily,true,500,5,100
redijedi,LEGENDARY,careyFamily,true,500,5,100
sinemacula,LEGENDARY,careyFamily,true,500,5,100
wallcrest,LEGENDARY,careyFamily,true,500,5,100
epochdemic,LEGENDARY,careyFamily,true,500,5,100
xyz,STANDARD,expansion,false,100,10,50
verse,STANDARD,expansion,false,100,10,50
nova,STANDARD,expansion,false,100,10,50
art,STANDARD,expansion,false,100,10,50
nft,STANDARD,expansion,false,100,10,50
myname,STANDARD,expansion,false,100,10,50
fanclub,STANDARD,expansion,false,100,10,50
sports,STANDARD,expansion,false,100,10,50
game,STANDARD,expansion,false,100,10,50
arcade,STANDARD,expansion,false,100,10,50
play,STANDARD,expansion,false,100,10,50
win,STANDARD,expansion,false,100,10,50
fit,STANDARD,expansion,false,100,10,50
health,STANDARD,expansion,false,100,10,50
wellness,STANDARD,expansion,false,100,10,50
food,STANDARD,expansion,false,100,10,50
eat,STANDARD,expansion,false,100,10,50
drink,STANDARD,expansion,false,100,10,50
travel,STANDARD,expansion,false,100,10,50
world,STANDARD,expansion,false,100,10,50
earth,STANDARD,expansion,false,100,10,50
space,STANDARD,expansion,false,100,10,50
future,STANDARD,expansion,false,100,10,50
tech,STANDARD,expansion,false,100,10,50
code,STANDARD,expansion,false,100,10,50
data,STANDARD,expansion,false,100,10,50
cloud,STANDARD,expansion,false,100,10,50
secure,STANDARD,expansion,false,100,10,50
guard,STANDARD,expansion,false,100,10,50
trust,STANDARD,expansion,false,100,10,50
law,STANDARD,expansion,false,100,10,50
legal,STANDARD,expansion,false,100,10,50
tax,STANDARD,expansion,false,100,10,50
audit,STANDARD,expansion,false,100,10,50
cpa,STANDARD,expansion,false,100,10,50
school,STANDARD,expansion,false,100,10,50
learn,STANDARD,expansion,false,100,10,50
academy,STANDARD,expansion,false,100,10,50
class,STANDARD,expansion,false,100,10,50
teach,STANDARD,expansion,false,100,10,50
